Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-16,237.15,241.7,223.7,225.05,225.3,1984648.0,4630.75
2012-11-19,226.0,228.65,222.0,225.3,225.5,939389.0,2122.43
2012-11-20,226.0,227.65,218.0,221.9,222.2,1293334.0,2869.67
2012-11-21,222.0,226.6,219.3,225.3,225.1,793017.0,1771.78
2012-11-22,225.2,226.95,220.2,223.6,223.85,689746.0,1543.32
2012-11-23,224.0,228.95,222.65,226.5,226.1,817718.0,1847.78
2012-11-26,227.0,231.0,225.25,228.95,228.6,723854.0,1654.06
2012-11-27,228.5,234.5,228.5,232.25,232.4,802564.0,1864.01
2012-11-29,232.55,234.7,228.8,230.1,230.75,1024936.0,2374.73
2012-11-30,232.25,241.85,231.5,241.7,239.75,1541395.0,3650.95
2012-12-03,241.2,262.8,240.25,262.5,259.15,3592667.0,9079.38
2012-12-04,260.0,266.55,251.4,254.6,254.4,3256649.0,8432.18
2012-12-05,250.0,260.0,248.0,249.1,249.25,2082176.0,5266.47
2012-12-06,250.0,264.15,242.1,262.0,261.85,4634625.0,11877.4
2012-12-07,262.0,268.9,258.1,263.15,263.25,3546926.0,9366.0
2012-12-10,264.0,268.65,261.0,266.45,266.9,1404522.0,3729.78
2012-12-11,267.1,274.9,262.0,274.2,271.95,2475234.0,6662.18
2012-12-12,273.05,279.4,271.05,274.95,275.45,2439694.0,6725.89
2012-12-13,276.0,277.5,263.6,265.4,265.8,1856444.0,5041.6
2012-12-14,265.0,271.5,260.95,269.45,269.4,1603838.0,4294.53
2012-12-17,270.0,281.8,268.5,280.15,280.2,2191370.0,6061.46
2012-12-18,282.55,285.35,278.0,282.05,282.65,2524383.0,7132.65
2012-12-19,282.05,296.8,280.0,291.4,291.7,3957613.0,11500.37
2012-12-20,292.6,293.25,269.0,270.0,271.0,8325549.0,23082.71
2012-12-21,278.15,284.4,270.65,271.2,272.95,9211522.0,25574.17
2012-12-24,274.0,276.8,265.25,274.25,274.65,3295453.0,8960.02
2012-12-26,275.0,276.0,271.05,272.9,272.8,1545490.0,4228.2
2012-12-27,272.7,277.75,268.0,271.75,270.35,3153996.0,8614.94
2012-12-28,271.75,273.95,269.15,272.5,272.15,1300760.0,3535.16
2012-12-31,272.4,274.5,270.5,271.0,271.35,797510.0,2171.96
2013-01-01,273.3,277.45,272.8,276.0,275.9,949270.0,2615.53
2013-01-02,278.2,286.5,277.15,285.15,285.35,2819260.0,7993.67
2013-01-03,286.9,287.3,279.35,280.6,280.7,1408033.0,3970.78
2013-01-04,285.05,285.05,274.65,276.3,276.7,1726008.0,4780.4
2013-01-07,278.2,282.7,277.65,278.1,279.4,1129136.0,3167.2
2013-01-08,279.7,279.8,272.8,277.45,277.1,1367983.0,3769.74
2013-01-09,277.9,281.0,274.05,275.0,275.25,1135351.0,3152.99
2013-01-10,276.0,278.1,268.8,271.4,271.85,1432751.0,3909.21
