Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-16,793.4,854.1,791.35,832.0,834.15,485175.0,4059.24
2012-11-19,848.0,859.0,814.0,818.0,817.9,291926.0,2465.08
2012-11-20,820.1,862.0,820.0,860.0,855.8,405046.0,3424.27
2012-11-21,860.05,867.0,835.5,839.0,839.1,268581.0,2284.71
2012-11-22,842.05,859.0,840.5,849.15,849.65,181670.0,1544.1
2012-11-23,849.75,856.35,843.0,849.0,848.55,62552.0,532.48
2012-11-26,849.8,855.75,844.65,852.0,851.65,57447.0,489.52
2012-11-27,852.5,902.05,852.5,876.0,876.6,574692.0,5095.49
2012-11-29,852.0,869.0,775.25,805.5,805.65,10300692.0,83952.0
2012-11-30,810.0,826.0,806.0,816.5,819.0,823629.0,6744.87
2012-12-03,820.55,828.0,811.35,813.55,815.6,239907.0,1967.83
2012-12-04,814.95,821.6,802.4,805.55,805.45,249529.0,2015.53
2012-12-05,809.8,811.95,805.0,805.9,805.55,266275.0,2147.87
2012-12-06,809.05,824.9,805.2,815.0,819.65,369789.0,3020.95
2012-12-07,819.85,819.85,807.15,810.5,810.05,145559.0,1182.15
2012-12-10,815.7,817.0,805.0,806.4,806.1,87251.0,705.69
2012-12-11,819.5,820.25,801.0,804.35,804.6,151885.0,1229.39
2012-12-12,805.1,819.0,805.1,810.0,809.9,250053.0,2028.77
2012-12-13,812.0,813.55,808.35,811.0,811.45,188437.0,1528.13
2012-12-14,812.0,814.85,810.1,813.0,812.85,155080.0,1260.66
2012-12-17,812.85,814.6,806.5,812.5,811.55,74148.0,601.05
2012-12-18,810.05,817.45,810.05,812.8,812.95,400260.0,3255.46
2012-12-19,819.0,828.0,807.3,814.35,814.4,323906.0,2640.95
2012-12-20,817.7,817.7,803.0,806.3,806.35,69183.0,558.94
2012-12-21,806.4,806.4,792.0,793.05,795.65,99044.0,792.41
2012-12-24,798.45,814.75,785.65,799.3,799.45,105282.0,843.27
2012-12-26,808.35,810.5,798.9,804.0,803.65,105527.0,849.42
2012-12-27,804.75,804.75,790.55,795.0,795.0,69877.0,556.74
2012-12-28,781.0,799.0,781.0,785.85,790.25,192657.0,1528.76
2012-12-31,790.2,792.9,784.2,788.05,787.35,50475.0,397.44
2013-01-01,788.9,795.7,786.0,787.05,788.2,49806.0,394.11
