Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-16,1197.05,1207.25,1161.45,1166.45,1171.7,218334.0,2575.62
2012-11-19,1173.4,1177.95,1151.15,1167.0,1165.75,135522.0,1576.52
2012-11-20,1165.0,1175.0,1152.0,1163.5,1162.05,111304.0,1287.24
2012-11-21,1161.05,1184.95,1156.2,1175.0,1174.2,149569.0,1750.25
2012-11-22,1176.45,1185.0,1168.0,1175.0,1176.0,159340.0,1872.36
2012-11-23,1177.0,1189.4,1168.45,1169.6,1171.7,226813.0,2666.97
2012-11-26,1172.05,1185.0,1168.0,1175.0,1177.4,429285.0,5051.84
2012-11-27,1182.0,1189.65,1174.95,1178.0,1177.15,361213.0,4264.31
2012-11-29,1180.2,1198.0,1166.4,1191.15,1180.7,911556.0,10764.63
2012-11-30,1180.25,1234.4,1160.05,1164.85,1184.9,3530961.0,42071.03
2012-12-03,1176.95,1179.0,1162.0,1175.0,1170.9,216345.0,2529.47
2012-12-04,1174.75,1178.0,1164.1,1169.0,1171.7,173347.0,2029.16
2012-12-05,1174.05,1177.95,1161.65,1162.2,1167.05,100617.0,1174.11
2012-12-06,1168.05,1173.9,1145.0,1170.0,1166.2,256359.0,2964.46
2012-12-07,1162.05,1192.75,1150.0,1179.0,1181.55,125705.0,1468.59
2012-12-10,1180.15,1188.5,1168.1,1181.7,1181.85,83388.0,982.88
2012-12-11,1172.4,1198.0,1156.65,1160.0,1163.2,137018.0,1606.39
2012-12-12,1163.0,1178.0,1156.5,1174.25,1174.15,757826.0,8875.43
2012-12-13,1179.95,1180.0,1121.75,1122.0,1133.3,200595.0,2304.7
2012-12-14,1130.65,1144.0,1122.25,1131.0,1130.45,133099.0,1506.83
2012-12-17,1138.0,1138.0,1077.1,1088.0,1096.85,463324.0,5093.41
2012-12-18,1101.8,1104.25,1082.35,1094.0,1096.9,231993.0,2537.35
2012-12-19,1100.15,1114.0,1086.25,1112.55,1107.85,192471.0,2119.36
2012-12-20,1114.95,1129.15,1111.0,1118.05,1119.15,150761.0,1687.73
2012-12-21,1115.65,1119.35,1069.2,1079.9,1075.5,289606.0,3163.5
2012-12-24,1077.25,1085.05,1061.3,1076.0,1065.65,171946.0,1847.07
2012-12-26,1143.4,1143.4,1055.15,1060.0,1058.8,149714.0,1597.81
2012-12-27,1069.7,1093.9,1045.0,1083.5,1084.65,1158293.0,12293.39
2012-12-28,1092.9,1099.45,1069.15,1082.5,1078.55,202564.0,2191.64
2012-12-31,1069.55,1116.0,1069.55,1109.9,1104.4,251306.0,2763.57
2013-01-01,1114.5,1119.3,1095.3,1097.0,1098.25,67425.0,746.2
2013-01-02,1107.4,1110.75,1091.0,1105.0,1105.8,186183.0,2051.29
2013-01-03,1111.95,1112.7,1091.25,1093.9,1093.7,137918.0,1517.21
2013-01-04,1093.8,1118.75,1081.15,1116.0,1110.3,277367.0,3040.52
2013-01-07,1096.05,1116.15,1085.85,1087.0,1094.7,178836.0,1964.17
2013-01-08,1081.25,1098.2,1072.05,1078.05,1078.2,215391.0,2326.74
2013-01-09,1085.75,1097.0,1080.0,1084.05,1085.35,120892.0,1317.21
2013-01-10,1086.4,1094.75,1064.85,1069.0,1069.05,103729.0,1118.38
2013-01-11,1062.05,1079.05,1055.15,1067.8,1063.3,109365.0,1164.56
2013-01-14,1063.7,1069.95,1055.6,1058.0,1059.35,82620.0,876.24
2013-01-15,1065.95,1078.5,1062.05,1066.2,1068.95,67872.0,727.36
2013-01-16,1068.75,1079.5,1059.0,1066.35,1063.75,66147.0,706.66
2013-01-17,1060.25,1070.0,1050.6,1058.0,1054.25,127543.0,1349.72
2013-01-18,1058.85,1062.0,1032.0,1049.0,1051.0,212486.0,2220.57
2013-01-21,1051.45,1074.0,1045.25,1064.05,1066.85,80482.0,856.96
2013-01-22,1084.15,1084.15,1055.5,1057.0,1060.05,71094.0,759.26
2013-01-23,1052.1,1068.75,1035.85,1040.25,1041.95,93604.0,982.0
2013-01-24,1040.3,1049.35,1021.0,1023.0,1027.9,144822.0,1493.69
2013-01-25,1027.9,1044.0,1005.0,1041.5,1034.9,127364.0,1302.81
2013-01-28,1033.05,1061.9,1033.05,1057.0,1057.6,69658.0,731.78
2013-01-29,1060.0,1077.2,1058.0,1071.0,1070.85,283219.0,3032.64
2013-01-30,1077.3,1077.3,1047.0,1063.95,1063.35,102678.0,1086.06
2013-01-31,1064.95,1066.0,1042.6,1049.0,1050.2,273553.0,2878.61
2013-02-01,1064.4,1070.0,1055.0,1069.0,1063.95,109584.0,1165.62
2013-02-04,1071.9,1079.35,1030.0,1034.95,1044.25,214665.0,2269.81
