Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-16,4714.0,4763.95,4710.85,4730.0,4724.65,10664.0,503.64
2012-11-19,4650.0,4847.7,4575.0,4590.05,4599.2,52134.0,2427.27
2012-11-20,4650.0,4650.0,4598.0,4624.0,4609.4,40332.0,1858.69
2012-11-21,4620.0,4644.0,4599.95,4630.0,4627.4,27333.0,1264.09
2012-11-22,4627.05,4645.45,4583.35,4619.5,4620.1,24653.0,1138.99
2012-11-23,4586.0,4629.9,4580.0,4620.0,4619.55,22522.0,1036.97
2012-11-26,4630.0,4710.0,4583.0,4583.0,4599.75,17469.0,812.71
2012-11-27,4689.0,4689.0,4600.0,4638.9,4620.4,12251.0,568.34
2012-11-29,4676.4,5544.45,4630.15,4675.0,4747.65,38059.0,1812.23
2012-11-30,4774.9,4900.0,4630.0,4800.0,4767.4,46425.0,2200.46
2012-12-03,4849.9,4849.9,4655.65,4700.0,4687.85,17270.0,814.94
2012-12-04,4738.0,4790.0,4707.05,4777.0,4781.1,14084.0,672.02
2012-12-05,4794.0,4840.0,4794.0,4810.0,4815.45,7535.0,362.49
2012-12-06,4838.0,4864.0,4782.2,4810.0,4813.4,6236.0,300.56
2012-12-07,4840.0,4840.0,4800.0,4825.0,4827.5,31715.0,1530.34
2012-12-10,4875.8,4875.8,4776.0,4810.0,4806.6,13085.0,628.78
2012-12-11,4800.1,4860.0,4650.0,4848.95,4827.6,14396.0,691.23
2012-12-12,4899.0,4899.0,4755.0,4817.0,4818.2,5263.0,253.54
2012-12-13,4839.9,4851.0,4790.0,4835.0,4841.85,8540.0,412.66
2012-12-14,4717.3,4892.0,4717.3,4782.7,4796.55,7409.0,355.94
2012-12-17,4830.0,4830.0,4772.3,4790.0,4789.1,14830.0,713.47
2012-12-18,4770.45,4850.0,4770.2,4799.0,4796.15,63282.0,3038.07
2012-12-19,4776.4,4945.0,4772.0,4940.0,4912.65,43974.0,2144.83
2012-12-20,4929.0,4945.0,4872.0,4889.9,4886.15,12695.0,621.14
2012-12-21,4887.0,4965.0,4877.1,4900.0,4900.5,37648.0,1846.03
2012-12-24,4905.05,4905.05,4806.2,4827.0,4828.5,4266.0,206.39
2012-12-26,4818.6,4870.0,4799.65,4848.0,4841.8,42611.0,2062.44
2012-12-27,4830.0,5024.2,4830.0,4990.0,4949.95,38715.0,1904.02
2012-12-28,4989.0,4990.95,4932.1,4964.0,4965.05,13262.0,659.07
2012-12-31,4997.65,5015.95,4936.0,4987.0,4992.3,11764.0,587.48
2013-01-01,5001.0,5001.0,4925.0,4965.0,4951.6,4220.0,210.09
2013-01-02,4988.95,5050.0,4932.0,4936.15,4974.3,45666.0,2273.62
2013-01-03,4975.05,4979.8,4866.0,4891.7,4899.2,21674.0,1066.57
2013-01-04,4905.3,4935.0,4862.6,4875.0,4875.85,12996.0,635.82
2013-01-07,4949.85,4949.85,4852.35,4875.05,4874.15,30739.0,1502.58
2013-01-08,4875.0,4918.95,4867.65,4883.05,4894.95,117547.0,5763.2
2013-01-09,4881.35,4964.9,4880.0,4948.0,4947.7,31909.0,1578.86
